                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.54718,                0.49839,                 1.1452,                0.96723,                0.95833,                0.98584,                0.80013,                0.72468,                0.40272,                 1.3697,                0.00307,                0.00307,                0.00307
                     72,                0.53865,                0.50223,                 1.1421,                0.97059,                0.95149,                0.98556,                0.80421,                0.71434,                0.41137,                  1.362,               0.002971,               0.002971,               0.002971
                     73,                0.53544,                0.48871,                 1.1348,                0.97639,                0.95506,                0.98727,                0.81059,                0.70864,                0.40178,                 1.3507,               0.002872,               0.002872,               0.002872
                     74,                0.52914,                0.49126,                 1.1391,                0.97169,                0.95353,                0.98651,                0.80571,                0.70432,                0.40506,                 1.3445,               0.002773,               0.002773,               0.002773
                     75,                0.53248,                 0.4916,                 1.1361,                0.96775,                0.95964,                0.98327,                0.81055,                0.69906,                0.40309,                 1.3413,               0.002674,               0.002674,               0.002674
                     76,                0.52307,                0.48325,                 1.1274,                0.97686,                0.95927,                0.98616,                0.81363,                0.69861,                0.39919,                 1.3367,               0.002575,               0.002575,               0.002575
                     77,                0.52092,                0.48128,                 1.1305,                0.97493,                 0.9508,                0.98514,                 0.8159,                0.69446,                0.39394,                 1.3377,               0.002476,               0.002476,               0.002476
                     78,                0.51988,                0.47938,                 1.1246,                0.97712,                 0.9524,                0.98434,                0.81704,                0.68632,                0.39715,                 1.3303,               0.002377,               0.002377,               0.002377
                     79,                0.51402,                0.46675,                 1.1228,                0.96304,                0.96561,                0.98455,                0.82029,                0.68302,                0.39976,                 1.3251,               0.002278,               0.002278,               0.002278
                     80,                0.50577,                0.46606,                 1.1147,                0.97551,                0.95448,                0.98775,                0.82158,                0.67651,                0.38678,                 1.3182,               0.002179,               0.002179,               0.002179
                     81,                0.50645,                0.47634,                 1.1207,                0.96884,                0.95759,                0.98595,                0.81841,                0.67262,                0.38668,                 1.3145,                0.00208,                0.00208,                0.00208
                     82,                0.49339,                 0.4573,                 1.1064,                0.97711,                0.95258,                0.98494,                0.82081,                0.67344,                0.38463,                 1.3172,               0.001981,               0.001981,               0.001981
                     83,                 0.4998,                0.46159,                 1.1136,                0.96864,                0.95047,                0.98427,                0.81788,                0.66869,                0.39004,                  1.312,               0.001882,               0.001882,               0.001882
                     84,                0.50042,                0.45959,                 1.1122,                0.97919,                0.95126,                0.98324,                0.81866,                0.66746,                0.38929,                 1.3148,               0.001783,               0.001783,               0.001783
                     85,                0.48797,                 0.4466,                 1.1038,                0.97575,                0.95089,                0.98483,                0.82045,                  0.665,                0.39274,                 1.3163,               0.001684,               0.001684,               0.001684
                     86,                0.48248,                0.44285,                 1.1021,                0.97863,                0.94769,                0.98408,                0.82558,                0.65752,                0.39141,                  1.303,               0.001585,               0.001585,               0.001585
                     87,                0.48069,                0.44109,                 1.0968,                0.98123,                0.94311,                0.98424,                0.82641,                0.65003,                0.38795,                 1.2962,               0.001486,               0.001486,               0.001486
                     88,                0.47143,                0.43429,                  1.094,                0.98087,                0.94692,                0.98466,                0.83066,                0.64594,                0.38766,                 1.2939,               0.001387,               0.001387,               0.001387
                     89,                0.47385,                 0.4379,                 1.0944,                0.97345,                 0.9501,                0.98513,                0.82946,                0.64399,                0.38749,                 1.2935,               0.001288,               0.001288,               0.001288
                     90,                0.46837,                0.42368,                 1.0888,                0.97743,                0.94361,                0.98506,                0.83163,                 0.6384,                0.38839,                 1.2877,               0.001189,               0.001189,               0.001189
                     91,                0.42113,                0.29895,                 1.0138,                 0.9757,                0.94945,                0.98549,                0.83394,                0.63992,                0.37979,                 1.2901,                0.00109,                0.00109,                0.00109
                     92,                0.40259,                0.27461,                 0.9982,                0.97941,                 0.9459,                0.98731,                0.83871,                0.62912,                 0.3744,                 1.2833,               0.000991,               0.000991,               0.000991
                     93,                0.39228,                0.26841,                0.99021,                0.97321,                 0.9539,                0.98791,                0.84384,                0.61967,                0.36863,                 1.2743,               0.000892,               0.000892,               0.000892
                     94,                0.38396,                0.26342,                0.97684,                 0.9675,                0.95425,                 0.9876,                0.84851,                0.60993,                0.36912,                 1.2644,               0.000793,               0.000793,               0.000793
                     95,                0.37744,                0.25826,                 0.9706,                 0.9675,                0.95468,                0.98707,                0.84939,                0.60514,                0.36919,                 1.2614,               0.000694,               0.000694,               0.000694
                     96,                0.37154,                0.25491,                 0.9578,                0.97162,                0.95701,                0.98751,                0.85114,                0.60251,                0.36739,                 1.2607,               0.000595,               0.000595,               0.000595
                     97,                0.36295,                0.24595,                0.95761,                0.97514,                0.95743,                0.98732,                0.85225,                0.59682,                0.36219,                 1.2569,               0.000496,               0.000496,               0.000496
                     98,                0.36275,                0.24854,                0.95436,                0.97346,                0.95615,                0.98743,                0.85558,                 0.5918,                0.36037,                   1.25,               0.000397,               0.000397,               0.000397
                     99,                0.35097,                0.23946,                0.94855,                0.96924,                0.95909,                0.98719,                0.85776,                0.58743,                0.35999,                 1.2454,               0.000298,               0.000298,               0.000298
                    100,                0.35148,                0.24155,                0.94531,                0.97444,                0.95481,                0.98739,                0.85743,                0.58486,                0.35729,                 1.2431,               0.000199,               0.000199,               0.000199
